День недели	Время	Учебная дисциплина	Преподаватель	Аудитория	Комментарий
Понедельник	10:45-12:20	Английский язык	Пояркова Александра Викторовна	229	I подгруппа
			Хотянова Ольга Борисовна	209	II подгруппа
	12:30-14:05	Общая химия и химия элементов	Берекчиян Михаил Вартанович	210	
			Брылев Олег Александрович	215	
			Лунев Алексей Михайлович	229	
			Харченко Андрей Васильевич		
	14:05-15:00	Обед			
	15:00-18:20	Практикум по общей химии и химии элементов	Берекчиян Михаил Вартанович	279, химический факультет	
			Брылев Олег Александрович		
			Лунев Алексей Михайлович		
			Харченко Андрей Васильевич		
Вторник	09:00-10:35	Математический анализ	Долгалева Ольга Евгеньевна	229	семинар
	10:45-12:20	Общая химия и химия элементов	Гудилин Евгений Алексеевич	БХА, химический факультет	лекция
	12:30-14:30	Практикум по общей химии и химии элементов	Берекчиян Михаил Вартанович	279, химический факультет	
			Брылев Олег Александрович		
			Лунев Алексей Михайлович		
			Харченко Андрей Васильевич		
	14:30-15:30	Обед			
	15:30-17:05	Общая химия и химия элементов	Берекчиян Михаил Вартанович	210	1С
			Брылев Олег Александрович	209	2С
			Лунев Алексей Михайлович		
			Харченко Андрей Васильевич	229	3С
Среда	09:00-12:20	Программирование и ЭВМ	Поярков Андрей Александрович	219	
	12:50-14:05	Физическая культура	Ерёмина Любовь Павловна		
	14:05-15:00	Обед			
	15:00-18:20	МФК			
Четверг	09:00-10:35	Математический анализ	Долгалева Ольга Евгеньевна	229	семинар
	10:45-14:05	Математический анализ	Зайцева Наталья Владимировна	229	лекция
	14:05-15:00	Обед			
	15:00-16:35	Английский язык	Пояркова Александра Викторовна	229	I подгруппа
			Хотянова Ольга Борисовна	209	II подгруппа
Пятница	10:45-12:20	Общая химия и химия элементов	Гудилин Евгений Алексеевич	БХА, химический факультет	лекция
	12:20-13:10	Обед			
	13:10-14:55	Введение в специальность	Тарасов Алексей Борисович	229	
	15:00-16:35	Общая химия и химия элементов	Берекчиян Михаил Вартанович	219	1С
			Брылев Олег Александрович	209	2С
			Лунев Алексей Михайлович		
			Харченко Андрей Васильевич	229	3С
Суббота	10:00-13:00	Высшая алгебра и аналитическая геометрия	Толпыго Денис Сергеевич	229	
	13:00-14:30	Обед			
	14:30-16:05	Физическая культура	Ерёмина Любовь Павловна		
	16:10-18:20	Учебная ознакомительная практика	Персональные научные кураторы студентов	Научная лаборатория	
